id;username;password;role;riwayat_penyakit;suhu_tubuh;tekanan_darah_sistolik;tekanan_darah_diastolik;detak_jantung;saturasi_oksigen;kadar_gula_darah;berat_badan;tinggi_badan;kadar_kolesterol;trombosit
10;neronimo;pass1010;dokter;;0.0;0;0;0;0.0;0;0.0;0;0;0
11;ciciko;pass1111;dokter;;0.0;0;0;0;0.0;0;0.0;0;0;0
12;cacako;pass1212;dokter;;0.0;0;0;0;0.0;0;0.0;0;0;0
13;kroket;pass1313;dokter;;0.0;0;0;0;0.0;0;0.0;0;0;0
15;risol;pass1515;dokter;;0.0;0;0;0;0.0;0;0.0;0;0;0
88;zeru;pass77;manager;;0.0;0;0;0;0.0;0;0.0;0;0;0
1;stewart;pass11;pasien;;36.1;92;77;66;93.0;127;52.4;177;193;328
7;tuart;paturrt;pasien;;36.1;92;77;66;93.0;127;52.4;177;193;328
2;gro;pass22;pasien;COVID-19;36.6;126;85;67;96.0;175;45.7;156;235;212
3;kebin;pass33;pasien;;36.4;96;68;94;92.0;162;64.1;158;240;380
6;nikeb;pnikeb;pasien;;36.4;96;68;94;92.0;162;64.1;158;240;380
4;pop;pass44;pasien;Diabetes Mellitus;36.9;110;85;73;98.0;152;62.8;157;184;390
8;minonette;pass88;pasien;;36.7;93;87;63;97.0;136;77.0;172;227;380
9;tobo;pass99;pasien;;36.8;114;74;61;94.0;100;80.6;173;152;386
10;ropik;pass110;pasien;;36.2;103;87;65;96.0;102;72.3;184;150;292
5;opor;oporkanajala;pasien;;36.2;103;87;65;96.0;102;72.3;184;150;292
16;tobokan;pass1234;pasien;;36.8;114;74;61;94.0;100;80.6;173;152;386
20;popokan;passpopokan;pasien;;36.9;110;85;73;98.0;152;62.8;157;184;390
100;pendatang;pendatangbaru;pasien;;0.0;0;0;0;0.0;0;0.0;0;0;0
111;furina;fufurinafafa;pasien;Diabetes Mellitus;36.9;110;85;73;98.0;152;62.8;157;184;390
112;jerannn;2424;pasien;Influenza;37.0;100;70;90;97.0;100;60.0;175;200;300
